Common_name,Species_Name,Minimum_time_cultivation,Primary_use (Historic),Secondary_use,Current_use,No_Food_Uses,No_Non_Food_Uses,No_Total_Uses,Multi-uses_codes,Biogeographic_Region,Major(1)/Minor(0),Area_Grown_(ha),Sources_additional_uses,Access_Date,,,,
Horseradish,Armoracia rusticana,2000,K,NA,K,2,1,3,"V, M",Palearctic,0,0,,23/02/2021,,,,
Papaya_pawpaw,Carica papaya,2000,F,NA,F,2,1,3,"V, M",Neotropic,1,409489.4545,,23/02/2021,,,,
Endive,Cichorium endivia,2000,V,NA,V,1,0,1,V,Palearctic,0,0,,23/02/2021,,,,
Chicory,Cichorium intybus,2000,V,K,V,2,1,3,"A,",Palearctic,1,19127.63636,,23/02/2021,,,,
Mountain_yam,Dioscorea oppositifolia,2000,R,NA,R,2,2,4,"V, M, A",Palearctic,0,0,,23/02/2021,,,,
Loquat,Eriobotrya japonica,2000,F,K,F,4,1,5,"B, M, Q",Palearctic,0,0,,23/02/2021,,,,
Guarana,Paullinia cupana,2000,B,K,B,2,1,3,M,Neotropic,0,0,,13/03/2021,,,,
Parsely,Petroselinum crispum,2000,K,NA,K,2,0,2,V,Palearctic,0,0,,23/02/2021,,,,
Hoja_santa,Piper auritum,2000,K,NA,K,2,1,3,"B, M",Neotropic,0,0,,23/02/2021,,,,
Sand_pear,Pyrus pyrifolia,2000,F,NA,F,1,0,1,,Palearctic,0,0,,23/02/2021,,,,
Malay_apple,Syzygium malaccense,2000,F,NA,F,1,1,2,TB,Australasia,0,0,,23/02/2021,,,,
Cranberry,Vaccinium macrocarpon,2000,F,NA,F,2,0,2,B,NA,1,33733.72727,,23/02/2021,,,,
Shichuan_pepper,Zanthoxylum bungeanum,2000,K,NA,K,1,1,2,M,Palearctic,0,0,,23/02/2021,,,,
Caper,Capparis spinosa,2100,K,V,K,2,1,3,M,Palearctic,0,0,,23/02/2021,,,,
Pomelo,Citrus maxima,2100,F,N,F,3,1,3,"K, B, M - is M the N here?",Indo_malay,0,0,,23/02/2021,,,,
Niger_seed,Guizotia abyssinica,2150,O,S,O,2,1,3,"P, M",Afrotropic,0,0,,23/02/2021,,,,
Asparagus,Asparagus officinalis,2200,V,NA,V,1,0,1,,Palearctic,1,2748824.455,,23/02/2021,,,,
Jute,Corchorus olitorius,2200,V,N,V,1,1,2,TX,Afrotropic,1,1414655.636,,23/02/2021,,,,
Cherry_plum,Prunus cerasifera,2200,F,N,F,1,0,1,,Palearctic,0,0,,23/02/2021,,,,
Clove,Syzygium aromaticum,2200,K,NA,K,1,1,2,M,Australasia,1,485537.3636,,23/02/2021,,,,
Orach,Atriplex hortensis,2300,V,N,V,1,1,2,D,Palearctic,0,0,,23/02/2021,,,,
Jack_bean,Canavalia ensiformis,2300,A,V,A,1,3,4,"T, M",Neotropic,0,0,,23/02/2021,,,,
Sour_cherry,Prunus cerasus,2300,F,O,F,3,0,3,Q,Palearctic,1,224918.6364,,23/02/2021,,,,
Service_tree,Sorbus domestica,2400,F,NA,F,1,0,1,,Palearctic,0,0,,23/02/2021,,,,
Welsh_onion,Allium fistulosum,2500,K,V,K,2,1,3,M,Palearctic,0,0,,23/02/2021,,,,
Grapefruit,Citrus paradisi,2500,F,NA,F,1,0,1,,Indo_malay,0,0,,23/02/2021,,,,
Clementine,Citrus reticulata,2500,F,NA,F,3,1,4,"K, M, O",Indo_malay,1,3766619.091,,23/02/2021,,,,
Cardoon,Cynara cardunculus,2500,V,NA,V,1,0,1,,NA,1,138884.9091,,23/02/2021,,,,
Dika,Irvingia gabonensis,2500,F,O,F,3,2,5,"P, D, TB",Afrotropic,0,0,,23/02/2021,,,,
Sapodilla,Manilkara zapota,2500,F,V,F,3,5,8,"B, F, S, D, M, TB, T, I",Neotropic,0,0,,21/02/2021,,,,
Pepino,Solanum muricatum,2500,F,NA,F,1,0,1,F,Neotropic,0,0,,21/02/2021,,,,
Tannia,Xanthosoma sagittifolium,2500,R,A,R,4,3,7,"R, B, C, V, A, T, M",Neotropic,1,47977,,21/02/2021,,,,
Bay_laurel,Laurus nobilis,2600,K,N,K,1,4,5,"K, M, I, TB",Palearctic,0,0,,21/02/2021,,,,
Rhubarb,Rheum rhabarbarum,2700,F,N,F,1,1,2,"F, M",Palearctic,0,0,,21/02/2021,,,,
Sage,Salvia officinalis,2700,K,NA,K,1,1,2,"K, M",Palearctic,0,0,,21/02/2021,,,,
Cardamom,Elettaria cardamomum,2730,K,NA,K,1,1,2,"K, M",Indo_malay,1,316792.7273,20,21/02/2021,,,,
Tea,Camellia sinensis,2737,B,NA,B,2,1,3,"B, K, M",Palearctic,1,5018630.455,,21/02/2021,,,,
Garlic_chives,Allium tuberosum,3000,K,NA,K,2,1,3,"K, V, M ",Palearctic,0,0,,21/02/2021,,,,
Musttard,Brassica juncea,3000,K,V,K,4,4,8,"O, P, K, V, A, I, M, T",Palearctic,0,0,,21/02/2021,,,,
Melon_and_cantaloupe,Cucumis melo,3000,F,NA,F,4,1,5,"B, F, O, V, M",Indo_malay,1,1728680.818,,21/02/2021,,,,
Quince,Cydonia oblonga,3000,F,NA,F,2,1,3,"F, B, M",Palearctic,0,0,,21/02/2021,,,,
Star_anise,Illicium verum,3000,K,NA,K,1,1,2,"K, M",Indo_malay,0,0,,21/02/2021,,,,
Guama,Inga laurina,3000,F,T,F,1,3,4,"V, I, T, A ",Neotropic,0,0,23,13/03/2021,,,,
Minth,Mentha spicata,3000,K,NA,K,1,1,2,"K, M",Palearctic,1,3199.272727,,21/02/2021,,,,
Sacred_water_lotus,Nelumbo nucifera,3000,R,V,R,4,2,6,"C, S, P, V, M, TX",Australasia,0,0,,21/02/2021,,,,
Jocote,Spondias purpurea,3100,F,V,F,1,0,1,F,Neotropic,0,0,,21/02/2021,,,,
Okra,Abelmoschus esculentus,3150,V,B,V,5,3,8,"B, C, O, K, V, A, TX, M",Indo_malay,1,1544144.091,"1, 2",21/02/2021,,,,
Celery,Apium graveolens,3275,V,NA,V,1,1,2,"V, M",Palearctic,0,0,,21/02/2021,,,,
Cinnamon,Cinnamomum verum,3300,K,N,K,1,5,6,"K, RD, I, T, TB, M",Indo_malay,0,0,,22/02/2021,,,,
Mayanut_ramon_mojote_osh_,Brosimum alicastrum,3400,P,F,P,4,4,8,"B, C, F, P, A, T, I, M",Neotropic,0,0,,13/03/2021,,,,
Jícama,Pachyrhizus erosus,3400,R,V,R,4,1,5,"C, O, K, V, A",Neotropic,0,0,,22/02/2021,,,,
Jicama,Pachyrhizus tuberosus,3400,R,V,R,2,1,3,"R, V, T",Neotropic,0,0,,22/02/2021,,,,
Cowpea,Vigna unguiculata,3410,P,A,P,3,3,6,"B, C, P, TX, A, M",Afrotropic,1,11612161.91,,22/02/2021,,,,
Cherimoya,Annona cherimola,3500,F,NA,F,1,2,3,"F, M, T",Neotropic,1,3926581.091,,22/02/2021,,,,
Breadfruit,Artocarpus altilis,3500,F,A,F,4,7,11,"F, P, V, R, A, T, I, D, TX, TB, M",Australasia,0,0,,22/02/2021,,,,
Turnip,Brassica rapa,3500,R,V,R,3,4,7,"R, V, O, A, T, M, I",Palearctic,0,0,,22/02/2021,,,,
Pigeon_pea,Cajanus cajan,3500,P,V,P,3,4,7,"S, P, V, A, T, I, M",Indo_malay,1,5202378.273,,22/02/2021,,,,
Cress,Lepidium sativum,3500,K,NA,K,4,1,5,"O, V, P, K, M",Palearctic,0,0,,22/02/2021,,,,
Rice_african,Oryza glaberrima,3500,C,NA,C,1,1,2,"C, M ",Afrotropic,0,0,,22/02/2021,,,,
Anise_seeds,Pimpinella anisum,3500,K,NA,K,2,1,3,"B, K, M",Palearctic,1,1050667.545,,22/02/2021,,,,
Cambridge_cherry,Prunus pseudocerasus,3500,F,NA,F,3,0,3,"F, P, B",Palearctic,0,0,,22/02/2021,,,,
Maca,Lepidium meyenii,3600,R,NA,R,2,1,3,"V, R, M",NA,0,0,,22/02/2021,,,,
Horse_gram,Macrotyloma uniflorum,3600,P,A,P,2,3,5,"P, V, A, T, M",Afrotropic,0,0,,22/02/2021,,,,
Ambarella,Spondias dulcis,3600,F,V,F,2,2,4,"F, V, M, T",Australasia,0,0,,22/02/2021,,,,
Blackseed,Nigella sativa,3650,K,NA,K,1,3,4,"K, M, I, T",Palearctic,0,0,,22/02/2021,,,,
Millet_finger,Eleusine coracana,3800,C,NA,C,2,1,3,"B, C, A",Afrotropic,0,0,,22/02/2021,,,,
Rough_pigweed,Amaranthus hybridus,4000,V,C,V,1,2,3,"V, M, A",Nearctic,0,0,,22/02/2021,,,,
Oblique_seed_jackbean,Canavalia plagiosperma,4000,P,A,P,1,1,2,"P, A ",Neotropic,0,0,17,13/03/2021,,,,
Jerusalem_artichoke,Helianthus tuberosus,4000,R,NA,R,1,3,4,"V, M, A, D",Nearctic,0,0,,23/02/2021,,,,
Litchi,Litchi chinensis,4000,F,N,F,1,1,2,"F, M",Indo_malay,0,0,,18/03/2021,,,,
Pearl_lupin,Lupinus mutabilis,4000,P,V,P,3,2,5,"I, T, V, P, O",Neotropic,0,0,,18/03/2021,,,,
Mango,Mangifera indica,4000,F,K,F,4,4,8,"F, K, S, V, M, TB, A, I",Indo_malay,1,5673364.091,10,18/03/2021,,,,
Sweet_cherry,Prunus avium,4077,F,N,F,2,4,6,"TB, M, D, T, F, P ",Palearctic,1,408992.7273,,18/03/2021,,,,
Lemon,Citrus limon,4100,F,B,F,4,2,6,"M, I, F, O, K, B",Australasia,1,1489838.273,,18/03/2021,,,,
Jatrofa,Jatropha curcas,4250,T,N,T,3,4,7,"M, T, I, TX, V, K, P",Neotropic,0,0,,18/03/2021,,,,
Husk_tomato_tomatillo,Physalis philadelphica,4250,V,N,V,1,1,2,"M, V",Nearctic,0,0,,18/03/2021,,,,
Peach_palm,Bactris gasipaes,4300,F,O,F,4,5,9,"M, I, TB, D, PP, F, O, S, V",Neotropic,0,0,,18/03/2021,,,,
Carrot,Daucus carota,4450,V,K,V,1,2,3,"D, M, V",Palearctic,1,1601174.273,,18/03/2021,,,,
Leek,Allium ampeloprasum,4500,V,K,V,2,1,3,"M, V, K",Palearctic,0,0,4,18/03/2021,,,,
Safflower_seed,Carthamus tinctorius,4500,O,P,O,4,3,7,"M, I, D, O, S, V, K",Palearctic,1,901732,,18/03/2021,,,,
Orange,Citrus sinensis,4500,F,B,F,3,2,6,"M, I, F, O, K, B",Indo_malay,1,1489838.273,,18/03/2021,,,,
Japanese_millet,Echinochloa esculenta,4500,C,A,C,3,1,4,"M, C, P, A",Australasia,0,0,,18/03/2021,,,,
Turmeric,Curcuma longa,4600,K,N,K,1,1,2,"D, K",Indo_malay,0,0,,18/03/2021,,,,
Mulberry_for_silkworms,Morus alba,4600,A,F,A,3,6,9,"A, M, TX, D, TB, I, F, B, Q",Palearctic,1,116841,,18/03/2021,,,,
Butter_bean_lima_bean,Phaseolus lunatus,4800,P,V,P,2,1,3,"M, V, P",Neotropic,0,0,,18/03/2021,,,,
Millet_pearl,Pennisetum glaucum,4900,C,N,C,1,1,2,"M, C",Afrotropic,1,34180415.82,,18/03/2021,,,,
Chinese_chives,Allium ramosum,5000,V,N,V,2,1,3,"M, V, K",Palearctic,0,0,,18/03/2021,,,,
